TransactionNo,Items,DateTime,Daypart,DayType,Quantity
1,Bread,10/30/2016 9:58,Morning,Weekend,1
2,Scandinavian,10/30/2016 10:05,Morning,Weekend,1
2,Scandinavian,10/30/2016 10:05,Morning,Weekend,1
3,Hot chocolate,10/30/2016 10:07,Morning,Weekend,1
3,Jam,10/30/2016 10:07,Morning,Weekend,1
3,Cookies,10/30/2016 10:07,Morning,Weekend,1
4,Muffin,10/30/2016 10:08,Morning,Weekend,1
5,Coffee,10/30/2016 10:13,Morning,Weekend,1
5,Pastry,10/30/2016 10:13,Morning,Weekend,1
5,Bread,10/30/2016 10:13,Morning,Weekend,1
6,Medialuna,10/30/2016 10:16,Morning,Weekend,1
6,Pastry,10/30/2016 10:16,Morning,Weekend,1
6,Muffin,10/30/2016 10:16,Morning,Weekend,1
7,Medialuna,10/30/2016 10:19,Morning,Weekend,1
7,Pastry,10/30/2016 10:19,Morning,Weekend,1
7,Coffee,10/30/2016 10:19,Morning,Weekend,1
7,Tea,10/30/2016 10:19,Morning,Weekend,1
8,Pastry,10/30/2016 10:20,Morning,Weekend,1
8,Bread,10/30/2016 10:20,Morning,Weekend,1
9,Bread,10/30/2016 10:21,Morning,Weekend,1
9,Muffin,10/30/2016 10:21,Morning,Weekend,1
10,Scandinavian,10/30/2016 10:25,Morning,Weekend,1
10,Medialuna,10/30/2016 10:25,Morning,Weekend,1
11,Bread,10/30/2016 10:27,Morning,Weekend,1
11,Medialuna,10/30/2016 10:27,Morning,Weekend,1
11,Bread,10/30/2016 10:27,Morning,Weekend,1
12,Jam,10/30/2016 10:30,Morning,Weekend,1
12,Coffee,10/30/2016 10:30,Morning,Weekend,1
12,Tartine,10/30/2016 10:30,Morning,Weekend,1
12,Pastry,10/30/2016 10:30,Morning,Weekend,1
12,Tea,10/30/2016 10:30,Morning,Weekend,1
13,Basket,10/30/2016 10:31,Morning,Weekend,1
13,Bread,10/30/2016 10:31,Morning,Weekend,1
13,Coffee,10/30/2016 10:31,Morning,Weekend,1
14,Bread,10/30/2016 10:32,Morning,Weekend,1
14,Medialuna,10/30/2016 10:32,Morning,Weekend,1
14,Pastry,10/30/2016 10:32,Morning,Weekend,1
15,Mineral water,10/30/2016 10:34,Morning,Weekend,1
15,Scandinavian,10/30/2016 10:34,Morning,Weekend,1
16,Bread,10/30/2016 10:37,Morning,Weekend,1
16,Medialuna,10/30/2016 10:37,Morning,Weekend,1
16,Coffee,10/30/2016 10:37,Morning,Weekend,1
17,Hot chocolate,10/30/2016 10:38,Morning,Weekend,1
18,Farm House,10/30/2016 10:41,Morning,Weekend,1
19,Farm House,10/30/2016 10:43,Morning,Weekend,1
19,Bread,10/30/2016 10:43,Morning,Weekend,1
20,Bread,10/30/2016 10:45,Morning,Weekend,1
20,Medialuna,10/30/2016 10:45,Morning,Weekend,1
21,Coffee,10/30/2016 10:49,Morning,Weekend,1
21,Coffee,10/30/2016 10:49,Morning,Weekend,1
21,Medialuna,10/30/2016 10:49,Morning,Weekend,1
21,Bread,10/30/2016 10:49,Morning,Weekend,1
22,Jam,10/30/2016 10:52,Morning,Weekend,1
23,Scandinavian,10/30/2016 10:53,Morning,Weekend,1
23,Muffin,10/30/2016 10:53,Morning,Weekend,1
24,Bread,10/30/2016 10:54,Morning,Weekend,1
25,Scandinavian,10/30/2016 10:55,Morning,Weekend,1
26,Fudge,10/30/2016 10:56,Morning,Weekend,1
27,Scandinavian,10/30/2016 11:02,Morning,Weekend,1
28,Coffee,10/30/2016 11:03,Morning,Weekend,1
28,Bread,10/30/2016 11:03,Morning,Weekend,1
29,Bread,10/30/2016 11:05,Morning,Weekend,1
29,Jam,10/30/2016 11:05,Morning,Weekend,1
30,Bread,10/30/2016 11:07,Morning,Weekend,1
31,Basket,10/30/2016 11:12,Morning,Weekend,1
32,Scandinavian,10/30/2016 11:16,Morning,Weekend,1
32,Muffin,10/30/2016 11:16,Morning,Weekend,1
33,Coffee,10/30/2016 11:22,Morning,Weekend,1
34,Coffee,10/30/2016 11:25,Morning,Weekend,1
34,Muffin,10/30/2016 11:25,Morning,Weekend,1
35,Muffin,10/30/2016 11:27,Morning,Weekend,1
35,Scandinavian,10/30/2016 11:27,Morning,Weekend,1
36,Tea,10/30/2016 11:33,Morning,Weekend,1
36,Bread,10/30/2016 11:33,Morning,Weekend,1
37,Coffee,10/30/2016 11:37,Morning,Weekend,1
37,Bread,10/30/2016 11:37,Morning,Weekend,1
38,Bread,10/30/2016 11:42,Morning,Weekend,1
38,Tea,10/30/2016 11:42,Morning,Weekend,1
39,Scandinavian,10/30/2016 11:44,Morning,Weekend,1
40,Juice,10/30/2016 11:55,Morning,Weekend,1
40,Tartine,10/30/2016 11:55,Morning,Weekend,1
40,Coffee,10/30/2016 11:55,Morning,Weekend,1
40,Muffin,10/30/2016 11:55,Morning,Weekend,1
41,Scandinavian,10/30/2016 11:57,Morning,Weekend,1
42,Bread,10/30/2016 11:57,Morning,Weekend,1
